word1,word2,sim
прибытие,отель,0.333333
монах,оракул,0.307692
начало,год,0.30303
ответственность,страхование,0.3
побережье,лес,0.3
умник,студент,0.291667
психология,доктор,0.291667
доктор,ответственность,0.291667
психология,познание,0.291667
кредит,карта,0.285714
министерство,культура,0.282051
семья,планирование,0.277778
жизнь,срок,0.27451
прецедент,предшественник,0.272727
еда,петушок,0.270833
территория,поверхность,0.266667
секретарь,сенат,0.266667
цель,жизнь,0.266667
театр,история,0.266667
передвижение,деятельность,0.266667
видео,архив,0.261905
открытие,космос,0.259259
жизнь,урок,0.25641
сто,процент,0.25
журавль,приспособление,0.25
день,лето,0.25
мораль,брак,0.25
потребитель,доверие,0.25
улица,дети,0.25
кожа,глаз,0.25
чашка,объект,0.25
мораль,важность,0.25
беспристрастность,интерес,0.25
деньги,операция,0.25
компьютер,новости,0.242424
начало,матч,0.242424
кредит,информация,0.242424
кино,звезда,0.242424
опера,выступление,0.238095
дивиденд,расчет,0.238095
приют,дурдом,0.238095
шанс,доверие,0.238095
изображение,поверхность,0.238095
рождаемость,яйцо,0.222222
игра,серия,0.222222
пол,равенство,0.222222
развитие,вопрос,0.214286
ситуация,заключение,0.212121
губернатор,офис,0.212121
сми,торговля,0.212121
роскошь,автомобиль,0.208333
правительство,кризис,0.208333
расследование,усилие,0.205128
прецедент,информация,0.186275
омар,вино,0.185185
мыло,опера,0.185185
оборудование,производитель,0.179487
космос,химия,0.166667
побережье,холм,0.166667
мир,атмосфера,0.166667
атмосфера,пейзаж,0.166667
отчет,выгода,0.166667
школа,центр,0.166667
губернатор,интервью,0.166667
берег,лесопарк,0.166667
напиток,рот,0.166667
доллар,потеря,0.166667
регистрация,расположение,0.166667
бейсбол,сезон,0.166667
бакалея,деньги,0.166667
нефть,фонд,0.160494
святой,секс,0.146667
природа,мужчина,0.141026
мужчина,губернатор,0.133333
изменение,отношение,0.130952
причина,критерий,0.125
направление,сочетание,0.125
смерть,ссора,0.115942
слово,сходство,0.111111
монах,раб,0.111111
задержка,новости,0.105263
возможность,девушка,0.105263
кладбище,лесопарк,0.104167
президент,медаль,0.102564
парень,волшебник,0.1
чашка,артефакт,0.095238
архитектура,век,0.095238
мир,страхование,0.095238
оружие,тайна,0.095238
чашка,вещество,0.095238
доброволец,девиз,0.090909
меньшинство,мир,0.090909
марс,вода,0.090909
наблюдение,архитектура,0.088889
век,нация,0.088889
король,капуста,0.088889
журнал,ассоциация,0.087719
фонд,ягуар,0.087719
мир,план,0.083333
энергия,кризис,0.083333
арафат,мир,0.076923
размер,известность,0.074074
запас,жизнь,0.074074
фонд,телефон,0.060606
объявление,производство,0.047619
предубеждение,признание,0.047619
музыка,проект,0.047619
перечисление,близость,0.047619
среда,новости,0.047619
профессор,огурец,0.047619
бедствие,площадь,0.047619
производство,экипаж,0.047619
население,развитие,0.047619
ситуация,изоляция,0.047619
объявление,усилие,0.047619
развертывание,вывод,0.041667
энергия,секретарь,0.041667
смерть,заключенный,0.041667
опыт,музыка,0.041667
задержка,расизм,0.041667
напиток,ухо,0.041667
опера,отрасль,0.041667
месяц,отель,0.041667
семь,серия,0.041667
прибыль,предупреждение,0.041667
ориентир,индекс,0.041667
развертывание,отход,0.041667
полдень,веревка,0.0
напиток,машина,0.0
практика,учреждение,0.0
сахар,подход,0.0
лес,погост,0.0
машина,полет,0.0
шнур,улыбка,0.0
попытка,мир,0.0
пять,месяц,0.0
прецедент,группа,0.0
производство,поход,0.0
сми,выгода,0.0
линия,страхование,0.0
напиток,мать,0.0
прецедент,сбор,0.0
подписать,перерыв,0.0
проблема,аэропорт,0.0
причина,гипертония,0.0
стекло,маг,0.0
фонд,яйцо,0.0
арафат,джексон,0.0
петушок,путешествие,0.0
доска,рекомендация,0.0
